area,type,total,price,name
甘井子区,低楼层(共4层)|2002年建|3室1厅|117.01平米|南北, 259万,"22,135元/平",怡景园
甘井子区,高楼层(共24层)|2009年建|2室1厅|75.21平米|南北东, 112万,"14,892元/平",胜景家园
甘井子区,高楼层(共7层)|1989年建|3室1厅|83.15平米|南北, 115万,"13,831元/平",76中学桥南
甘井子区,低楼层(共6层)|1995年建|1室1厅|52.12平米|南, 112万,"21,489元/平",金二小学南
甘井子区,中楼层(共7层)|2003年建|2室2厅|67.99平米|南北, 112万,"16,474元/平",泡崖美林园
甘井子区,高楼层(共11层)|2015年建|2室1厅|86.41平米|南北, 130万,"15,045元/平",金地艺境
甘井子区,低楼层(共9层)|2016年建|2室1厅|79.42平米|南北, 160万,"20,147元/平",三寰融创城南园
甘井子区,低楼层(共18层)|2020年建|2室2厅|79.14平米|南北, 135万,"17,059元/平",益丰乾城
甘井子区,高楼层(共33层)|2016年建|1室1厅|54.5平米|南, 77万,"14,129元/平",鹿港小镇
甘井子区,低楼层(共7层)|1993年建|2室1厅|80.26平米|南北, 115万,"14,329元/平",泡崖一区
甘井子区,低楼层(共11层)2室1厅|78.4平米|南, 99万,"12,628元/平",三合庭苑
甘井子区,中楼层(共6层)|2004年建|3室1厅|88.73平米|南北, 170万,"19,160元/平",亲亲家园
甘井子区,中楼层(共5层)|2007年建|1室1厅|43.46平米|南, 79.8万,"18,362元/平",锦泉源D3区
甘井子区,高楼层(共5层)|2010年建|3室2厅|102.17平米|南北, 170万,"16,639元/平",艾维尼小城
甘井子区,中楼层(共7层)|2007年建|2室1厅|89.67平米|南北, 183万,"20,409元/平",隽佳欣苑
甘井子区,低楼层(共3层)|1965年建|1室1厅|30.05平米|南北, 72万,"23,961元/平",金四街
甘井子区,高楼层(共6层)|2004年建|2室2厅|85.89平米|南北, 125万,"14,554元/平",泡崖新六区
甘井子区,中楼层(共9层)|2019年建|3室2厅|114.19平米|南北, 260万,"22,770元/平",招商海德公园
甘井子区,低楼层(共18层)|2016年建|1室1厅|48.43平米|南, 70万,"14,454元/平",三寰融创城南园
甘井子区,低楼层(共6层)|2008年建|2室1厅|71.02平米|南北, 119万,"16,756元/平",龙畔金泉五期K2区
甘井子区,中楼层(共6层)|2000年建|2室1厅|62.85平米|南北, 113万,"17,980元/平",兴达花园
甘井子区,低楼层(共19层)|2015年建|2室1厅|79平米|南, 139.9万,"17,709元/平",亿达春田蝶园
甘井子区,中楼层(共27层)|2014年建|2室2厅|86.43平米|南北, 164万,"18,975元/平",欧尚广场
甘井子区,低楼层(共7层)|1993年建|2室1厅|51.02平米|东南, 76.8万,"15,053元/平",蓝天小区
甘井子区,高楼层(共6层)|1988年建|2室1厅|51.17平米|南, 73万,"14,267元/平",新街
甘井子区,中楼层(共32层)|2014年建|2室2厅|90.33平米|南北, 185万,"20,481元/平",保利西山林语
甘井子区,高楼层(共24层)|2009年建|2室1厅|72.52平米|南, 160万,"22,063元/平",星中环广场
甘井子区,高楼层(共6层)|2003年建|2室1厅|56.84平米|南北, 100万,"17,594元/平",大连门广场
甘井子区,低楼层(共6层)|2017年建|3室2厅|106.3平米|南北, 239万,"22,484元/平",亿达春田里
甘井子区,低楼层(共11层)|2018年建|2室1厅|84.07平米|南北, 112万,"13,323元/平",三寰融创城北园
甘井子区,中楼层(共24层)|2009年建|2室1厅|91.46平米|西北, 118万,"12,902元/平",泉水家年华
甘井子区,高楼层(共11层)|2009年建|2室1厅|86.62平米|南北, 160万,"18,472元/平",泉水人家幸福里
甘井子区,低楼层(共9层)|2011年建|2室1厅|46.9平米|南, 149.8万,"31,941元/平",壹品天城
甘井子区,中楼层(共16层)|2019年建|2室2厅|78.24平米|南北, 125.5万,"16,041元/平",中国铁建山语城
甘井子区,低楼层(共33层)|2009年建|2室1厅|91.64平米|西南北, 104万,"11,349元/平",泉水N1区
甘井子区,低楼层(共19层)|2010年建|2室2厅|89.62平米|南北东, 135万,"15,064元/平",西郊闲庭
甘井子区,低楼层(共5层)|2002年建|2室1厅|70.85平米|南北, 95万,"13,409元/平",泡崖四区
甘井子区,低楼层(共21层)|2012年建|2室1厅|87.85平米|南北西, 108万,"12,294元/平",福佳新城
甘井子区,中楼层(共5层)|1994年建|2室1厅|47.96平米|南北, 62万,"12,928元/平",马栏北街（甘井子区）
甘井子区,中楼层(共6层)|2003年建|1室1厅|44.2平米|南, 60万,"13,575元/平",大连湾街小区
甘井子区,高楼层(共23层)|2016年建|3室2厅|92.66平米|南北, 248万,"26,765元/平",青秀蓝湾二期
甘井子区,低楼层(共9层)|2010年建|2室1厅|95.64平米|南北, 145万,"15,162元/平",泊岭紫郡
甘井子区,中楼层(共14层)|2012年建|2室1厅|86.4平米|南, 219万,"25,348元/平",第五郡一号地
甘井子区,高楼层(共33层)|2014年建|2室1厅|84.82平米|南, 207万,"24,405元/平",保利西山林语
甘井子区,中楼层(共5层)|2007年建|1室1厅|45.48平米|南, 95万,"20,889元/平",锦泉源D1区
甘井子区,低楼层(共33层)|2012年建|2室1厅|81.57平米|南北, 105万,"12,873元/平",欣家园一期
甘井子区,高楼层(共24层)|2008年建|2室2厅|105.54平米|南, 149万,"14,118元/平",美域盛景
甘井子区,高楼层(共11层)|2018年建|2室2厅|84.07平米|南北, 138万,"16,415元/平",三寰融创城北园
甘井子区,中楼层(共4层)|1987年建|1室1厅|31.91平米|北南, 68万,"21,310元/平",香周路（甘）
甘井子区,低楼层(共6层)|2009年建|2室1厅|57.92平米|南北, 85.5万,"14,762元/平",水木清华
甘井子区,低楼层(共21层)|2009年建|2室1厅|81.89平米|西南北, 82.5万,"10,075元/平",海禄苑小区
甘井子区,高楼层(共6层)|2003年建|2室1厅|66平米|南北, 70.8万,"10,728元/平",泡崖康馨园
甘井子区,中楼层(共5层)|2009年建|1室1厅|49.29平米|南, 88万,"17,854元/平",南岭新城三期
甘井子区,中楼层(共6层)|2012年建|2室1厅|65.94平米|南, 138万,"20,929元/平",美辰香醒
甘井子区,低楼层(共25层)|2016年建|3室1厅|94.35平米|北南, 260万,"27,557元/平",青秀蓝湾一期
甘井子区,高楼层(共24层)|2009年建|2室1厅|73.76平米|南北, 103万,"13,965元/平",胜景家园
